state,species,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
NSW,Prawns,463,404,294,346,409,363,294,241,199,200,164,165,148,270,223,287,331,326,360,284,164,495
NSW,Yabbies,40.2,41.8,35,32,32,28,23,19,21,22,14,10,19,17,15,18,15,8,6,15,10,7
NSW,Oysters,"5,335","5,241","5,142","5,507","5,603","5,852","4,727","4,267","4,330","4,500","4,690","4,960","3,883","3,417","3,371","3,266","3,713","3,727","3,770","3,582","3,602","3,432"
NSW,Silver Perch,164,240,230,278,302,239,270,301,232,200,180,194,240,190,149,195,246,254,194,221,179,174
NSW,Trouts ,338,267,205,251,200,170,218,196,217,130,143,150,168,165,198,253,277,196,211,182,245,207
NSW,Mussels,45,42,32,77,67,44,36,34,37,21,66,66,29,18,50,38,0, na , na , na ,70,33
NSW,Snapper,0.4,0.9,13,24,15,0,0, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
NSW,Barramundi,11.2,16.9,65,55,85,101,121,104,114,111,111,86,75,50,50,59,62,68,44,46,64,59
NSW,Ornamental species,0.4, na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , -   , -   
NSW,Other aquaculture,25,30.5,11,19,348,39,52,52,50,45,47,85,107,162,130,215,259,205,266,269,360,420
NSW,Total,"6,421","6,284","6,027","6,589","7,061","6,838","5,742","5,212","5,200","5,229","5,415","5,716","4,669","4,289","4,186","4,331","4,904","4,784","4,851","4,599","4,694","4,827"
VIC,Abalone, na , na ,5,13,27,102,124,161,121,166,209, na , na ,330,365,431,436,326,462,525, na , na 
VIC,Barramundi, na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na ,219,350,464
VIC,Blue Mussel,888,972,"1,186","1,582","1,444","1,064","1,260",933,805,642,446,567,982,811,866,644,"1,014",764,"1,136","1,346", na , na 
VIC,Yabbies,13,15,23,31,7,5,4,5,2,1,2,2,3,5,3,1,3,1,3,4, na , na 
VIC,Salmonids,"1,294","1,612","1,732","1,587","1,605","1,648","1,631","1,491","1,361","1,309",877,857,977,733,"1,063","1,186","1,147","1,343","1,282","1,179","1,117","1,118"
VIC,Warmwater Finfish,2,23,77,105,110,105,110,159,131,105,144,227,196,126,160,157,270,236,256,75,91,50
VIC,Freshwater Eels,107,45,68,49,18,43,116,83,141, na , na , na , na , na , na , na , na , na ,6,14, na , na 
VIC,Ornamental species, no , no , no , no , no , no , no , no , no , no , no , no , no , no , no , no , no , no , no , no , no , no 
VIC,Other aquaculture, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,316,387, -   , -   , -   , -   , -   ,2, -   ,"1,769","1,384"
