state,headline,sentiment_1,sentiment_2,agreement_1_2
Australian Capital Territory,122 Organizations Transforming Food Systems in 2022 – Food Tank,"NA","NA",TRUE
Australian Capital Territory,A breath of fresh air: how nanobubbles can make aquaculture more sustainable,Negative,Negative,TRUE
Australian Capital Territory,A greener blue revolution,Negative,Negative,TRUE
Australian Capital Territory,"'Agrifood' hub aims to provide jobs, boost economy","NA",Positive,FALSE
Australian Capital Territory,Amendments to Fisheries and Coastal Resources Act,"NA","NA",TRUE
Australian Capital Territory,America is hooked on seafood imports. We need to expand aquaculture in federal waters,Positive,Positive,TRUE
Australian Capital Territory,An exotic opportunity for a seaweed aquaculture intern,Positive,"NA",FALSE
Australian Capital Territory,"Andrew Forrest's Harvest Road quits WA Aquaculture Council, reportedly poaches executive officer",Neutral,Neutral,TRUE
Australian Capital Territory,Aqua,"NA","NA",TRUE
Australian Capital Territory,Aquaculture Act proposed for Canada,"NA","NA",TRUE
Australian Capital Territory,Aquaculture and Social License to Operate - World Aquaculture Societywas.org21 June 2021bookmark_bordersharemore_vert,Neutral,Neutral,TRUE
Australian Capital Territory,Aquaculture benefits Florida and our oceans | Column,Positive,Positive,TRUE
Australian Capital Territory,Aquaculture boom at our fingertips: study,Positive,Neutral,FALSE
Australian Capital Territory,Aquaculture inquiry to hear about NT biosecurity concerns,Neutral,Neutral,TRUE
Australian Capital Territory,Aquaculture pioneer honoured by Atlantic Canada salmon farmers,Positive,Positive,TRUE
Australian Capital Territory,Aquaculture researchers raise concerns over probiotic safety,Neutral,Negative,FALSE
Australian Capital Territory,"As the tide rises, Indonesia struggles to save the living—and the dead","NA","NA",TRUE
Australian Capital Territory,Atlantic salmon: Open-net feedlots must not be used in Tasmania,Negative,Negative,TRUE
Australian Capital Territory,Australians bid to boost banana prawn farming,Positive,Positive,TRUE
Australian Capital Territory,Australia's emerging seaweed startups,Neutral,Neutral,TRUE
Australian Capital Territory,"Australia's marine industries deliver $80b a year. But without more scientists, the 'blue economy' is at risk","NA","NA",TRUE
Australian Capital Territory,Bangladesh desperately needs a comprehensive maritime law,"NA","NA",TRUE
Australian Capital Territory,BFAR sees completion of 32 hatcheries in 2022pna.gov.ph13 Decbookmark_bordersharemore_vert,"NA","NA",TRUE
Australian Capital Territory,Bill Reboot: The AQUAA Act is back,"NA","NA",TRUE
Australian Capital Territory,Bill Text - AB-303 Aquaculture: mariculture production and restoration: pilot program.,Neutral,Neutral,TRUE
Australian Capital Territory,Can aquaculture really take the pressure off capture fisheries?,Negative,Neutral,FALSE
Australian Capital Territory,Can Bangladesh's pangasius sector comply with sustainability certification?,Neutral,Neutral,TRUE
Australian Capital Territory,Canada contemplating new Aquaculture Act; DFO leading public consultations,Neutral,Neutral,TRUE
Australian Capital Territory,Canada sees net gains from proposed Aquaculture Act,Neutral,Positive,FALSE
Australian Capital Territory,Canadian fish farmers get a code of practice,Neutral,Neutral,TRUE
Australian Capital Territory,Charting a Course Toward Offshore Aquaculture,Positive,Neutral,FALSE
