Year of Reg,Year,CN-8,Comment,CN-8 product name,Explanation,CF
1369/2020,2021,0301 11 00,unchanged,Live ornamental freshwater fish,The assumption made in the Oceanic Developpement survey is that this product is not meant for human consumption or industrial use.,0.00
1369/2020,2021,0301 19 00,unchanged,Live ornamental saltwater fish,The assumption made in the Oceanic Developpement survey is that this product is not meant for human consumption or industrial use.,0.00
1369/2020,2021,0301 91 10,unchanged,"Live trout ""Oncorhynchus apache and Oncorhynchus chrysogaster""",The assumption made in the Oceanic Developpement survey is that a part of this product is used for human consumption as it is and the other part for on-growing in the aquaculture sector. ,1.00
1369/2020,2021,0301 91 90,unchanged,"Live trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae""",Same assumption as for 03 01 91 10,1.00
1369/2020,2021,0301 92 10,unchanged,"Live eels ""Anguilla spp."", of a length of < 12 cm",Same assumption as for 03 01 91 10,1.00
1369/2020,2021,0301 92 30,unchanged,"Live eels ""Anguilla spp."", of a length of => 12 cm but < 20 cm",Same assumption as for 03 01 91 10,1.00
1369/2020,2021,0301 92 90,unchanged,"Live eels ""Anguilla spp."", of a length of => 20 cm",Same assumption as for 03 01 91 10,1.00
1369/2020,2021,0301 93 00,unchanged,Live carp,Same assumption as for 03 01 91 10,1.00
1369/2020,2021,0301 94 10,unchanged,"Live bluefin tunas ""Thunnus thynnus""",Same assumption as for 03 01 91 10,1.00
1369/2020,2021,0301 94 90,unchanged,"Live Pacific bluefin tuna ""Thunnus orientalis""",Same assumption as for 03 01 91 10,1.00
1369/2020,2021,0301 95 00,unchanged,"Live southern bluefin tunas ""Thunnus maccoyii""",Same assumption as for 03 01 91 10,1.00
1369/2020,2021,0301 99 11,unchanged,"Live Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus"", Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho""",Same assumption as for 03 01 91 10,1.00
1369/2020,2021,0301 99 17,unchanged,"Other freshwater fish (excl. 0301 99 11), live",Same assumption as for 03 01 91 10,1.00
1369/2020,2021,0301 99 85,unchanged,"Live saltwater fish (excl. ornamental fish, trout [Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster], eels [Anguilla spp.], Atlantic and Pacific bluefin tunas [Thunnus thynnus, Thunnus orientalis] and southern bluefin tunas [Thunnus maccoyii])",Same assumption as for 03 01 91 10,1.00
1369/2020,2021,0302 11 10,unchanged,"Fresh or chilled trout ""Oncorhynchus apache and Oncorhynchus chrysogaster""","According to articles in the trade publications validated by professionals, trout is traded whole, unprepared, as it is mentioned in the Oceanic Developpement survey.",1.00
1369/2020,2021,0302 11 20,unchanged,"Fresh or chilled trout of the species ""Oncorhynchus mykiss"", with heads on and gills on, gutted, weighing > 1,2 kg each, or with heads off, gilled and gutted, weighing > 1 kg each","We assume that large trout is predominantly traded gutted, head on (CF1,13), while a small amount is sold gutted, head off (CF1,28). Thus the proposed CF is a mean value of these two CFs. ",1.15
1369/2020,2021,0302 11 80,unchanged,"Fresh or chilled trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae"" (excl. of the species ""Oncorhynchus mykiss"", with heads on and gills on, gutted, weighing > 1,2 kg each, or with heads off, gilled and gutted, weighing > 1 kg each)","This product item includes a combination of whole round trout (CF 1,00) and some gutted, head on (CF 1,13). The proposed CF is a mean value of these two CFs. ",1.05
