System,State,Headline,Sentiment_1,Sentiment_2,Sentiment_2 Numerical,Metadata
Aquaculture,Victoria,$2.4 million funding to enable fish-based livelihood innovation in Solomon Islands and Timor-Leste,,Positive,3,The Mercury25 Decbookmark_bordersharemore_vert
Aquaculture,New South Wales,$2.4 million funding to enable fish-based livelihood innovation in Solomon Islands and Timor-Leste,,Positive,3,Premier of Tasmania27 Septbookmark_bordersharemore_vert
Aquaculture,Queensland,$4.5m tropical rock lobster project launched,,Neutral,2,NEWS27 Septbookmark_bordersharemore_vert
Aquaculture,Western Australia,$4.5m tropical rock lobster project launched,,Neutral,2,SeafoodSource24 Septbookmark_bordersharemore_vert
Aquaculture,Northern Territory,$4m funding to look at Territory food security and drought resilience,,NA,0,The Mercury27 Septbookmark_bordersharemore_vert
Aquaculture,South Australia,$8m marina planned for regional kingfish farm,,Neutral,2,The Examiner27 Septbookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,122 Organizations Transforming Food Systems in 2022 â€“ Food Tank,,NA,0,Premier of Tasmania24 Novbookmark_bordersharemore_vert
Aquaculture,Victoria,18 select stores in Sydney will soon start selling Aquna Sustainable Murray Cod,,Positive,3,Premier of Tasmania20 Octbookmark_bordersharemore_vert
Aquaculture,New South Wales,18 select stores in Sydney will soon start selling Aquna Sustainable Murray Cod,,Positive,3,Premier of Tasmania9 Novbookmark_bordersharemore_vert
Aquaculture,Queensland,2021 is the world's fifth hottest year on record,,NA,0,The Guardian Australia5 Septbookmark_bordersharemore_vert
Aquaculture,Queensland,2021 is the world's fifth hottest year on record | The Advertiser,,NA,0,The Examiner23 Novbookmark_bordersharemore_vert
Aquaculture,Western Australia,"5,000 kingfish released in Fremantle, WAFishing Worldbookmark_bordersharemore_vert",,NA,0,Sydney Morning Herald26 Julybookmark_bordersharemore_vert
Aquaculture,South Australia,90 unusual subjects you can study in SA schools,,NA,0,The Guardian27 Apr 2021bookmark_bordersharemore_vert
Aquaculture,South Australia,A 20-year retrospective review of global aquaculture,,Neutral,2,The Mercury9 Augbookmark_bordersharemore_vert
Aquaculture,Northern Territory,A 20-year retrospective review of global aquaculture,,Neutral,2,The Advocate20 June 2021bookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,A breath of fresh air: how nanobubbles can make aquaculture more sustainable,,Negative,1,The Guardian15 Decbookmark_bordersharemore_vert
Aquaculture,Queensland,A greener blue revolution,,Negative,1,The Guardian Australia4 Septbookmark_bordersharemore_vert
Aquaculture,Northern Territory,A greener blue revolution,,Negative,1,Tasmanian Times29 Novbookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,A greener blue revolution,,Negative,1,ABC News7 July 2021bookmark_bordersharemore_vert
Aquaculture,Victoria,A Limeburners Creek dam could damage Port Stephens oyster industry,,Negative,1,The Mercury23 Augbookmark_bordersharemore_vert
