System,State,Sentiment_1_RAW,Headline,Sentiment_1,Sentiment_2,Metadata
Aquaculture,Victoria,3,$2.4 million funding to enable fish-based livelihood innovation in Solomon Islands and Timor-Leste,Positive,,Mirage News19 Octbookmark_bordersharemore_vert
Aquaculture,New South Wales,3,$2.4 million funding to enable fish-based livelihood innovation in Solomon Islands and Timor-Leste,Positive,,Mirage News19 Octbookmark_bordersharemore_vert
Aquaculture,Queensland,2,$4.5m tropical rock lobster project launched,Neutral,,Business News25 May 2021bookmark_bordersharemore_vert
Aquaculture,Western Australia,2,$4.5m tropical rock lobster project launched,Neutral,,Business News25 May 2021bookmark_bordersharemore_vert
Aquaculture,Northern Territory,0,$4m funding to look at Territory food security and drought resilience,NA,,Katherine Times7 Septbookmark_bordersharemore_vert
Aquaculture,South Australia,2,$8m marina planned for regional kingfish farm,Neutral,,The Advertiser3 May 2021bookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,0,122 Organizations Transforming Food Systems in 2022 – Food Tank,NA,,Food Tank29 Decbookmark_bordersharemore_vert
Aquaculture,Victoria,0,18 select stores in Sydney will soon start selling Aquna Sustainable Murray Cod,NA,,Area News17 June 2021bookmark_bordersharemore_vert
Aquaculture,New South Wales,3,18 select stores in Sydney will soon start selling Aquna Sustainable Murray Cod,Positive,,Area News17 June 2021bookmark_bordersharemore_vert
Aquaculture,Queensland,0,2021 is the world's fifth hottest year on record,NA,,Ararat Advertiser1 hour agobookmark_bordersharemore_vert
Aquaculture,Queensland,0,2021 is the world's fifth hottest year on record | The Advertiser,NA,,Cessnock Advertiser1 hour agobookmark_bordersharemore_vert
Aquaculture,Western Australia,0,"5,000 kingfish released in Fremantle, WAFishing Worldbookmark_bordersharemore_vert",NA,,"NA5,000 kingfish released in Fremantle, WAFishing Worldbookmark_bordersharemore_vert"
Aquaculture,South Australia,0,90 unusual subjects you can study in SA schools,NA,,The Advertiser10 Septbookmark_bordersharemore_vert
Aquaculture,South Australia,2,A 20-year retrospective review of global aquaculture,Neutral,,Nature.com24 Mar 2021bookmark_bordersharemore_vert
Aquaculture,Northern Territory,2,A 20-year retrospective review of global aquaculture,Neutral,,Nature.com24 Mar 2021bookmark_bordersharemore_vert
