System,State,Headline,Sentiment_1,Sentiment_2,Metadata
Aquaculture,Tasmania,"Salmon industry winning the PR war, poll shows",,,The Mercury25 Decbookmark_bordersharemore_vert
Aquaculture,Tasmania,MOU to support aquaculture further offshore,,,Premier of Tasmania27 Septbookmark_bordersharemore_vert
Aquaculture,Tasmania,Plan for deep-water fish pens off Tasmania7,,,NEWS27 Septbookmark_bordersharemore_vert
Aquaculture,Tasmania,Tasmanian aquaculture opponents decry “secret maps” as government develops 10-year plan,,,SeafoodSource24 Septbookmark_bordersharemore_vert
Aquaculture,Tasmania,Tasmanian Salmon industry in deeper waters; Greens react,,,The Mercury27 Septbookmark_bordersharemore_vert
Aquaculture,Tasmania,State government agrees to explore further offshore fish farms,,,The Examiner27 Septbookmark_bordersharemore_vert
Aquaculture,Tasmania,Offshore marine aquaculture research a step closer,,,Premier of Tasmania24 Novbookmark_bordersharemore_vert
Aquaculture,Tasmania,Marine Aquaculture Research Bill out for public comment,,,Premier of Tasmania20 Octbookmark_bordersharemore_vert
Aquaculture,Tasmania,Bill tabled to support offshore Marine Aquaculture Research,,,Premier of Tasmania9 Novbookmark_bordersharemore_vert
Aquaculture,Tasmania,Landing salmon: can Tasmania clean up the industry by bringing it onshore?,,,The Guardian Australia5 Septbookmark_bordersharemore_vert
Aquaculture,Tasmania,Tasmanian Government moves to form marine research collaboration with Commonwealth for future deep sea salmon farming,,,The Examiner23 Novbookmark_bordersharemore_vert
Aquaculture,Tasmania,How Tasmania's salmon farms are being cleaned up by author Richard Flanagan,,,Sydney Morning Herald26 Julybookmark_bordersharemore_vert
Aquaculture,Tasmania,"Tasmania’s salmon industry expansion has no sound scientific basis, expert who quit review panel says",,,The Guardian27 Apr 2021bookmark_bordersharemore_vert
Aquaculture,Tasmania,‘Toxic’ author’s dire warning over Huon Aquaculture sale,,,The Mercury9 Augbookmark_bordersharemore_vert
Aquaculture,Tasmania,Huon Aquaculture talks down prospects of moving salmon farming entirely onshore in Tasmania,,,The Advocate20 June 2021bookmark_bordersharemore_vert
Aquaculture,Tasmania,Calls for independent salmon testing after lab tests allegedly show higher fat content than industry figures,,,The Guardian15 Decbookmark_bordersharemore_vert
Aquaculture,Tasmania,"WWF Australia admitted Tasmanian salmon farms ‘not sustainable’, campaigner says",,,The Guardian Australia4 Septbookmark_bordersharemore_vert
Aquaculture,Tasmania,Brazil’s Batista Brothers Invited to Tasmania After Purchase of Huon Aquaculture,,,Tasmanian Times29 Novbookmark_bordersharemore_vert
Aquaculture,Tasmania,Tasmanian salmon companies report 68 instances of elevated fish deaths in 15 months,,,ABC News7 July 2021bookmark_bordersharemore_vert
Aquaculture,Tasmania,Claims maps reveal aquaculture expansion plan,,,The Mercury23 Augbookmark_bordersharemore_vert
