Taxa,Year,Prod,FMFO_inclusion,Animal_inclusion,Crop_inclusion,Total_prod,TL_taxon_year
Carps,1995,4924000,0.1,9.999999999999962e-6,0.89999,9092000,2.211589426948668
Carps,1996,5696000,0.1,9.999999999999962e-6,0.89999,10293000,2.210701673448333
Carps,1997,6329000,0.1,9.999999999999962e-6,0.89999,11477000,2.211326137784884
Carps,1998,7010000,0.1,9.999999999999962e-6,0.89999,12502000,2.216881170874797
Carps,1999,7755000,0.09,9.999999999999962e-6,0.90999,13850000,2.187778402573232
Carps,2000,7184000,0.09,9.999999999999962e-6,0.90999,13944000,2.1866206490008597
Carps,2001,7730000,0.08,9.999999999999962e-6,0.91999,15193000,2.1704996554420077
Carps,2002,8105000,0.08,9.999999999999962e-6,0.91999,16208000,2.167301267818514
Carps,2003,8467000,0.08,9.999999999999962e-6,0.91999,18601000,2.172833819348143
Carps,2004,8195000,0.08,9.999999999999962e-6,0.91999,19443000,2.1698339414447143
Carps,2005,8622000,0.08,9.999999999999962e-6,0.91999,20982000,2.169955606211943
Carps,2006,8916000,0.05,9.999999999999962e-6,0.94999,22719000,2.107429045315976
Carps,2007,9305000,0.05,9.999999999999962e-6,0.94999,24892000,2.10690312029632
Carps,2010,11287000,0.03,9.999999999999962e-6,0.96999,30414000,2.0636712991688
Carps,2015,14440000,0.02,9.999999999999962e-6,0.97999,43233000,2.042393329100462
Shrimps,1995,928000,0.3,0.005000000000004918,0.6949999999999951,9092000,2.6402352808460092
Shrimps,1996,917000,0.29,0.0058706196965522105,0.7041293803034478,10293000,2.617460634666373
Shrimps,1997,933000,0.28,0.006892280949891536,0.7131077190501085,11477000,2.599263894842556
Shrimps,1998,999000,0.28,0.008091091529108656,0.7119089084708914,12502000,2.616136679131451
Shrimps,1999,1068000,0.27,0.009497655389144752,0.7205023446108552,13850000,2.573749628647755
Shrimps,2000,1137000,0.27,0.011147844134896058,0.718852155865104,13944000,2.5720915755509655
Shrimps,2001,1311000,0.27,0.013083700365688821,0.7169162996343111,15193000,2.589791282519035
Shrimps,2002,1467000,0.27,0.015354495361197653,0.7146455046388023,16208000,2.5814945987848033
Shrimps,2003,2051000,0.26,0.018017967381411974,0.721982032618588,18601000,2.5814939270010187
Shrimps,2004,2364000,0.26,0.02114177130853112,0.7188582286914689,19443000,2.575180508134706
Shrimps,2005,2668000,0.26,0.024805175567316644,0.7151948244326833,20982000,2.5796056633128637
Shrimps,2006,3111000,0.22,0.02910104834814248,0.7508989516518575,22719000,2.504650552573251
Shrimps,2007,3294000,0.2,0.03413818227253017,0.7658618177274699,24892000,2.465120481685063
Shrimps,2010,3779000,0.14,0.055084395445553894,0.8049156045544461,30414000,2.357674231111176
Shrimps,2015,4729000,0.095,0.12208267400002586,0.7829173259999742,43233000,2.335607004627224
Tilapias,1995,703000,0.15,0.005000000000001508,0.8449999999999985,9092000,2.322867640423004
Tilapias,1996,810000,0.14,0.005418655558876377,0.8545813444411237,10293000,2.3009274639424304
Tilapias,1997,931000,0.14,0.005872129106070647,0.8541278708939293,11477000,2.3023005349155152
Tilapias,1998,951000,0.13,0.006363296672030012,0.8636367033279699,12502000,2.288930848476469
Tilapias,1999,1104000,0.13,0.006895270231281679,0.8631047297687183,13850000,2.2788043787490784
Tilapias,2000,1190000,0.12,0.007471416925966303,0.8725285830740337,13944000,2.257031423953043
Tilapias,2001,1302000,0.12,0.008095379844785243,0.8719046201552147,15193000,2.264637900992276
Tilapias,2002,1417000,0.11,0.008771100482353942,0.881228899517646,16208000,2.2396723287810465
Tilapias,2003,1587000,0.11,0.009502843013894584,0.8804971569861054,18601000,2.2480845039189807
Tilapias,2004,1795000,0.1,0.010295220531006406,0.8897047794689936,19443000,2.22360341939
Tilapias,2005,1992000,0.1,0.011153223395801982,0.888846776604198,20982000,2.2246993035003113
Tilapias,2006,2234000,0.065,0.012082249883323353,0.9229177501166766,22719000,2.1529339337824247
Tilapias,2007,2554000,0.05,0.01308813929556562,0.9369118607044344,24892000,2.1212890735214422
Tilapias,2010,3497000,0.03,0.016632765375540943,0.953367234624459,30414000,2.081956341081895
Tilapias,2015,5999000,0.02,0.024779772000001848,0.9552202279999982,43233000,2.0696400783004645
Marine fishes,1995,498000,0.65,0.0050000000000003705,0.34499999999999964,9092000,3.380759775166343
Marine fishes,1996,528000,0.65,0.0051946494284115146,0.34480535057158845,10293000,3.375203491785417
Marine fishes,1997,646000,0.65,0.005396773300466824,0.34460322669953314,11477000,3.3794848462322595
Marine fishes,1998,731000,0.62,0.005606654670983665,0.37439334532901636,12502000,3.3507623795618233
Marine fishes,1999,787000,0.58,0.005824587164157633,0.41417541283584236,13850000,3.2164636402414013
Marine fishes,2000,977000,0.54,0.006050875362637032,0.4539491246373629,13944000,3.1263138569040607
Marine fishes,2001,1051000,0.52,0.006285835210717555,0.4737141647892824,15193000,3.115090679104841
Marine fishes,2002,1162000,0.49,0.006529794432156154,0.5034702055678438,16208000,3.0318356642637725
Marine fishes,2003,1227000,0.48,0.006783092963130536,0.5132169070368695,18601000,3.044398318348303
Marine fishes,2004,1276000,0.47,0.007046083400884002,0.5229539165991159,19443000,3.0054604727286693
